epoch,loss,val_loss,Model,Crypto,Data %,File
1,3.501744747161865,1.3082048892974854,TRANSFORMER,ETH,0.1,transformer_eth_log_0_1pct.csv
2,0.2771752476692199,0.3943721354007721,TRANSFORMER,ETH,0.1,transformer_eth_log_0_1pct.csv
3,0.1913172453641891,0.551665723323822,TRANSFORMER,ETH,0.1,transformer_eth_log_0_1pct.csv
4,0.16708405315876,0.6969828009605408,TRANSFORMER,ETH,0.1,transformer_eth_log_0_1pct.csv
5,0.1498105376958847,0.7293074131011963,TRANSFORMER,ETH,0.1,transformer_eth_log_0_1pct.csv
6,0.1370190978050232,0.8891947269439697,TRANSFORMER,ETH,0.1,transformer_eth_log_0_1pct.csv
7,0.132504403591156,0.9930453300476074,TRANSFORMER,ETH,0.1,transformer_eth_log_0_1pct.csv
0,0.869840681552887,322.5259704589844,TRANSFORMER,ETH,10.0,transformer_eth_log_10pct.csv
1,0.0475355572998523,310.367431640625,TRANSFORMER,ETH,10.0,transformer_eth_log_10pct.csv
2,0.0420175977051258,303.6116943359375,TRANSFORMER,ETH,10.0,transformer_eth_log_10pct.csv
3,0.0401205122470855,340.5904541015625,TRANSFORMER,ETH,10.0,transformer_eth_log_10pct.csv
4,0.0371272824704647,393.0036315917969,TRANSFORMER,ETH,10.0,transformer_eth_log_10pct.csv
5,0.0357241481542587,404.1717834472656,TRANSFORMER,ETH,10.0,transformer_eth_log_10pct.csv
6,0.0348711907863616,425.7373352050781,TRANSFORMER,ETH,10.0,transformer_eth_log_10pct.csv
7,0.033238485455513,454.2259216308594,TRANSFORMER,ETH,10.0,transformer_eth_log_10pct.csv
0,8.197123527526855,0.8342796564102173,TRANSFORMER,ETH,1.0,transformer_eth_log_1pct.csv
1,0.1106043756008148,1.1596955060958862,TRANSFORMER,ETH,1.0,transformer_eth_log_1pct.csv
2,0.0716631338000297,1.3388479948043823,TRANSFORMER,ETH,1.0,transformer_eth_log_1pct.csv
3,0.0579910576343536,1.287020564079285,TRANSFORMER,ETH,1.0,transformer_eth_log_1pct.csv
4,0.0467556491494178,1.7970341444015503,TRANSFORMER,ETH,1.0,transformer_eth_log_1pct.csv
5,0.0426475144922733,1.628232479095459,TRANSFORMER,ETH,1.0,transformer_eth_log_1pct.csv
